Exchange Date,Close
20-Jan-2023,82.28
27-Jan-2023,86.14
03-Feb-2023,90.24
10-Feb-2023,90.02
17-Feb-2023,93.13
24-Feb-2023,94.10
03-Mar-2023,89.07
10-Mar-2023,96.72
17-Mar-2023,84.58
24-Mar-2023,85.10
31-Mar-2023,89.48
07-Apr-2023,94.15
14-Apr-2023,91.38
21-Apr-2023,87.29
28-Apr-2023,85.37
05-May-2023,82.98
12-May-2023,86.36
19-May-2023,87.79
26-May-2023,80.56
02-Jun-2023,77.38
09-Jun-2023,85.06
16-Jun-2023,90.51
23-Jun-2023,85.93
30-Jun-2023,87.48
07-Jul-2023,84.65
14-Jul-2023,84.54
21-Jul-2023,89.86
28-Jul-2023,87.15
04-Aug-2023,82.45
11-Aug-2023,85.50
18-Aug-2023,86.73
25-Aug-2023,84.50
01-Sep-2023,84.37
08-Sep-2023,80.65
15-Sep-2023,81.44
22-Sep-2023,84.56
29-Sep-2023,81.17
06-Oct-2023,79.99
13-Oct-2023,85.45
20-Oct-2023,80.94
27-Oct-2023,78.88
03-Nov-2023,77.47
10-Nov-2023,78.49
17-Nov-2023,76.36
24-Nov-2023,76.40
01-Dec-2023,72.49
08-Dec-2023,68.63
15-Dec-2023,66.35
22-Dec-2023,76.16
29-Dec-2023,77.55
05-Jan-2024,73.77
12-Jan-2024,63.55
19-Jan-2024,61.38
26-Jan-2024,61.38
02-Feb-2024,61.42
09-Feb-2024,56.91
16-Feb-2024,55.34
23-Feb-2024,50.52
01-Mar-2024,54.64
08-Mar-2024,56.58
15-Mar-2024,57.57
22-Mar-2024,59.94
29-Mar-2024,60.20
05-Apr-2024,58.99
12-Apr-2024,69.71
19-Apr-2024,66.99
26-Apr-2024,65.16
03-May-2024,70.29
10-May-2024,70.19
17-May-2024,69.00
24-May-2024,74.04
31-May-2024,72.60
07-Jun-2024,69.91
14-Jun-2024,66.87
21-Jun-2024,66.72
28-Jun-2024,66.35
05-Jul-2024,69.23
12-Jul-2024,68.08
19-Jul-2024,65.24
26-Jul-2024,66.79
02-Aug-2024,69.66
09-Aug-2024,69.21
16-Aug-2024,71.55
23-Aug-2024,70.51
30-Aug-2024,69.70
06-Sep-2024,65.93
13-Sep-2024,64.43
20-Sep-2024,62.85
27-Sep-2024,65.78
04-Oct-2024,61.73
11-Oct-2024,64.27
18-Oct-2024,61.97
25-Oct-2024,66.61
01-Nov-2024,63.74
08-Nov-2024,67.86
15-Nov-2024,67.85
22-Nov-2024,69.00
